Rank,Name,Symbol,Price,Market Cap,Volume(24 Hour),Ciruculating Supply,Main Link,Historical Link,GitHub Link,Tags
30,Hedera,HBAR,0.05886,1947264958.07,82946495.90,33083237217,https://coinmarketcap.com/currencies/hedera/,https://coinmarketcap.com/currencies/hedera/historical-data/,https://github.com/hashgraph,"['DAG', 'Marketplace', 'Enterprise Solutions']"
31,Internet Computer,ICP,3.5101,1551766082.28,16614482.50,442084120,https://coinmarketcap.com/currencies/internet-computer/,https://coinmarketcap.com/currencies/internet-computer/historical-data/,https://github.com/dfinity/ic,"['Platform', 'Distributed Computing', 'Collectibles & NFTs']"
32,Filecoin,FIL,3.2352,1434049850.09,96585090.02,443258347,https://coinmarketcap.com/currencies/filecoin/,https://coinmarketcap.com/currencies/filecoin/historical-data/,https://github.com/filecoin-project/,"['Mineable', 'Distributed Computing', 'Filesharing']"
33,Mantle,MNT,0.4296,1389503504.21,12277953.46,3234382071,https://coinmarketcap.com/currencies/mantle/,https://coinmarketcap.com/currencies/mantle/historical-data/,https://github.com/mantlenetworkio,"['Ethereum Ecosystem', 'Layer 2', 'DWF Labs Portfolio']"
34,Lido DAO,LDO,1.558,1383021589.59,67800848.27,887699772,https://coinmarketcap.com/currencies/lido-dao/,https://coinmarketcap.com/currencies/lido-dao/historical-data/,https://github.com/lidofinance,"['DeFi', 'DAO', 'Three Arrows Capital Portfolio']"
35,Cronos,CRO,0.05123,1294165405.57,6005789.23,25263013692,https://coinmarketcap.com/currencies/cronos/,https://coinmarketcap.com/currencies/cronos/historical-data/,https://github.com/crypto-org-chain/chain-main,"['Medium of Exchange', 'Cosmos Ecosystem', 'Centralized Exchange (CEX) Token']"
36,Aptos,APT,5.6911,1293223853.59,88396875.79,227235133,https://coinmarketcap.com/currencies/aptos/,https://coinmarketcap.com/currencies/aptos/historical-data/,No GitHub Link,"['Binance Labs Portfolio', 'Aptos Ecosystem', 'Circle Ventures Portfolio']"
37,Quant,QNT,101.43,1224514289.72,12974257.69,12072738,https://coinmarketcap.com/currencies/quant/,https://coinmarketcap.com/currencies/quant/historical-data/,https://github.com/quantnetwork/,"['Platform', 'Interoperability']"
38,Arbitrum,ARB,0.948,1208723808.64,152807293.97,1275000000,https://coinmarketcap.com/currencies/arbitrum/,https://coinmarketcap.com/currencies/arbitrum/historical-data/,No GitHub Link,"['Scaling', 'DAO', 'DApp']"
39,VeChain,VET,0.01605,1167316310.31,23309138.00,72714516834,https://coinmarketcap.com/currencies/vechain/,https://coinmarketcap.com/currencies/vechain/historical-data/,https://github.com/vechain,"['Logistics', 'Data Provenance', 'IoT']"
40,NEAR Protocol,NEAR,1.1897,1120314403.12,47022915.54,941671517,https://coinmarketcap.com/currencies/near-protocol/,https://coinmarketcap.com/currencies/near-protocol/historical-data/,https://github.com/nearprotocol/nearcore,"['Platform', 'Staking', 'Coinbase Ventures Portfolio']"
41,Optimism,OP,1.4688,1052692332.09,152907326.63,716708907,https://coinmarketcap.com/currencies/optimism-ethereum/,https://coinmarketcap.com/currencies/optimism-ethereum/historical-data/,https://github.com/ethereum-optimism/,"['Layer 2', 'Optimism Ecosystem']"
42,Maker,MKR,1013.17,990504480.61,64448513.14,977631,https://coinmarketcap.com/currencies/maker/,https://coinmarketcap.com/currencies/maker/historical-data/,https://github.com/makerdao,"['Store Of Value', 'DeFi', 'DAO']"
43,Aave,AAVE,56.89,826232881.8,68297790.82,14524340,https://coinmarketcap.com/currencies/aave/,https://coinmarketcap.com/currencies/aave/historical-data/,https://github.com/aave,"['DeFi', 'DAO', 'Yield Farming']"
44,The Graph,GRT,0.08914,816867738.33,36019315.03,9164031528,https://coinmarketcap.com/currencies/the-graph/,https://coinmarketcap.com/currencies/the-graph/historical-data/,https://github.com/graphprotocol,"['AI & Big Data', 'Enterprise Solutions', 'DeFi']"
45,Algorand,ALGO,0.09693,758703967.47,22762098.11,7827171346,https://coinmarketcap.com/currencies/algorand/,https://coinmarketcap.com/currencies/algorand/historical-data/,https://github.com/algorand/go-algorand,"['PoS', 'Platform', 'Research']"
46,XDC Network,XDC,0.05291,733226989.17,10528676.98,13858710886,https://coinmarketcap.com/currencies/xdc-network/,https://coinmarketcap.com/currencies/xdc-network/historical-data/,https://github.com/xinfinorg,"['Enterprise Solutions', 'Smart Contracts', 'XDC Ecosystem']"
47,USDD,USDD,0.9977,723638753.88,24074045.57,725332035,https://coinmarketcap.com/currencies/usdd/,https://coinmarketcap.com/currencies/usdd/historical-data/,https://tronscan.org/#/contract/TPYmHEhy5n8TCEfYGqW2rPxsghSfzghPDn/code,"['Stablecoin', 'Algorithmic Stablecoin', 'Arbitrum Ecosystem']"
48,Axie Infinity,AXS,4.8546,683752252.2,16559944.78,140847467,https://coinmarketcap.com/currencies/axie-infinity/,https://coinmarketcap.com/currencies/axie-infinity/historical-data/,No GitHub Link,"['Collectibles & NFTs', 'Gaming', 'Binance Launchpad']"
49,The Sandbox,SAND,0.3229,666749800.85,49328785.00,2064931926,https://coinmarketcap.com/currencies/the-sandbox/,https://coinmarketcap.com/currencies/the-sandbox/historical-data/,No GitHub Link,"['Collectibles & NFTs', 'Content Creation', 'Gaming']"
50,Tezos,XTZ,0.6967,661943435.76,13871033.93,950170580,https://coinmarketcap.com/currencies/tezos/,https://coinmarketcap.com/currencies/tezos/historical-data/,https://gitlab.com/tezos/tezos,"['PoS', 'Platform', 'Enterprise Solutions']"
51,Stacks,STX,0.4706,660397460.79,13463491.10,1403323335,https://coinmarketcap.com/currencies/stacks/,https://coinmarketcap.com/currencies/stacks/historical-data/,https://github.com/stacks-network,"['Mineable', 'Platform', 'Collectibles & NFTs']"
52,MultiversX,EGLD,25.32,655307121.86,15831684.24,25879171,https://coinmarketcap.com/currencies/multiversx-egld/,https://coinmarketcap.com/currencies/multiversx-egld/historical-data/,https://github.com/multiversx,"['Binance Launchpad', 'Binance Labs Portfolio', 'Electric Capital Portfolio']"
53,EOS,EOS,0.5867,645857673.66,87931284.06,1100753047,https://coinmarketcap.com/currencies/eos/,https://coinmarketcap.com/currencies/eos/historical-data/,https://github.com/AntelopeIO/leap,"['Medium of Exchange', 'Enterprise Solutions', 'Smart Contracts']"
54,Theta Network,THETA,0.6357,635749025.28,9643726.70,1000000000,https://coinmarketcap.com/currencies/theta-network/,https://coinmarketcap.com/currencies/theta-network/historical-data/,https://github.com/thetatoken,"['Media', 'Collectibles & NFTs', 'Content Creation']"
55,Immutable,IMX,0.5627,632186784.21,35319141.27,1123390887,https://coinmarketcap.com/currencies/immutable-x/,https://coinmarketcap.com/currencies/immutable-x/historical-data/,No GitHub Link,"['Collectibles & NFTs', 'Zero Knowledge Proofs', 'Gaming']"
56,Injective,INJ,7.268,608735271.0,29903353.75,83755556,https://coinmarketcap.com/currencies/injective/,https://coinmarketcap.com/currencies/injective/historical-data/,https://github.com/InjectiveLabs,"['PoS', 'Platform', 'Cosmos Ecosystem']"
57,Fantom,FTM,0.2077,582258459.46,29980644.43,2802691357,https://coinmarketcap.com/currencies/fantom/,https://coinmarketcap.com/currencies/fantom/historical-data/,https://github.com/Fantom-Foundation,"['Platform', 'Enterprise Solutions', 'DeFi']"
58,Bitcoin SV,BSV,30.07,579354449.45,16935868.42,19266077,https://coinmarketcap.com/currencies/bitcoin-sv/,https://coinmarketcap.com/currencies/bitcoin-sv/historical-data/,https://github.com/bitcoin-sv/bitcoin-sv,"['Mineable', 'PoW', 'SHA-256']"
59,Decentraland,MANA,0.3054,578069048.78,44607866.97,1893095371,https://coinmarketcap.com/currencies/decentraland/,https://coinmarketcap.com/currencies/decentraland/historical-data/,https://github.com/decentraland/mana,"['Platform', 'Collectibles & NFTs', 'Gaming']"
60,Synthetix,SNX,2.0624,555024528.45,32694877.37,269121362,https://coinmarketcap.com/currencies/synthetix/,https://coinmarketcap.com/currencies/synthetix/historical-data/,No GitHub Link,"['Services', 'Decentralized Exchange (DEX) Token', 'DeFi']"
61,Render,RNDR,1.474,548179027.6,25652189.20,371908453,https://coinmarketcap.com/currencies/render/,https://coinmarketcap.com/currencies/render/historical-data/,No GitHub Link,"['Art', 'Media', 'VR/AR']"
62,ApeCoin,APE,1.4461,533029166.23,48122107.87,368593750,https://coinmarketcap.com/currencies/apecoin-ape/,https://coinmarketcap.com/currencies/apecoin-ape/historical-data/,No GitHub Link,"['Collectibles & NFTs', 'Content Creation', 'Gaming']"
63,Pax Dollar,USDP,0.9996,509987125.72,15049818.82,510215145,https://coinmarketcap.com/currencies/paxos-standard/,https://coinmarketcap.com/currencies/paxos-standard/historical-data/,https://github.com/paxosglobal/pax-contracts,"['Store Of Value', 'Stablecoin', 'Asset-Backed Stablecoin']"
64,Neo,NEO,7.1754,506141678.92,21426170.45,70538831,https://coinmarketcap.com/currencies/neo/,https://coinmarketcap.com/currencies/neo/historical-data/,https://github.com/neo-project/neo,"['Platform', 'Enterprise Solutions', 'Smart Contracts']"
65,THORChain,RUNE,1.4807,504043588.86,78363548.78,340415651,https://coinmarketcap.com/currencies/thorchain/,https://coinmarketcap.com/currencies/thorchain/historical-data/,https://github.com/thorchain,"['Cosmos Ecosystem', 'Decentralized Exchange (DEX) Token', 'DeFi']"
66,Kava,KAVA,0.6834,491529841.24,10826058.77,719219914,https://coinmarketcap.com/currencies/kava/,https://coinmarketcap.com/currencies/kava/historical-data/,https://github.com/kava-labs,"['Cosmos Ecosystem', 'DeFi', 'Binance Launchpad']"
67,PAX Gold,PAXG,1902.92,474111896.22,4164837.42,249150,https://coinmarketcap.com/currencies/pax-gold/,https://coinmarketcap.com/currencies/pax-gold/historical-data/,https://github.com/paxosglobal/paxos-gold-contract,"['BNB Chain', 'Tokenized Gold']"
68,Tether Gold,XAUt,1917.13,472618561.86,1043454.41,246524,https://coinmarketcap.com/currencies/tether-gold/,https://coinmarketcap.com/currencies/tether-gold/historical-data/,No GitHub Link,['Tokenized Gold']
69,eCash,XEC,2.403e-05,468092957.09,5883170.07,19480448423093,https://coinmarketcap.com/currencies/ecash/,https://coinmarketcap.com/currencies/ecash/historical-data/,https://github.com/bitcoin-abc,['Layer 1']
70,Flow,FLOW,0.4504,466662055.23,24023463.65,1036200000,https://coinmarketcap.com/currencies/flow/,https://coinmarketcap.com/currencies/flow/historical-data/,https://github.com/onflow,"['Platform', 'Collectibles & NFTs', 'Staking']"
71,Rocket Pool,RPL,23.54,461816944.96,3631508.28,19620795,https://coinmarketcap.com/currencies/rocket-pool/,https://coinmarketcap.com/currencies/rocket-pool/historical-data/,https://github.com/rocket-pool/rocketpool,"['DeFi', 'Liquid Staking Derivatives']"
72,Chiliz,CHZ,0.06301,449072864.89,21821080.48,7126880905,https://coinmarketcap.com/currencies/chiliz/,https://coinmarketcap.com/currencies/chiliz/historical-data/,No GitHub Link,"['Sports', 'Collectibles & NFTs', 'Content Creation']"
73,Gala,GALA,0.01931,447781599.08,39620171.17,23189941688,https://coinmarketcap.com/currencies/gala/,https://coinmarketcap.com/currencies/gala/historical-data/,No GitHub Link,"['Collectibles & NFTs', 'Gaming', 'BNB Smart Chain']"
74,Klaytn,KLAY,0.1386,442419658.82,5989536.21,3192476041,https://coinmarketcap.com/currencies/klaytn/,https://coinmarketcap.com/currencies/klaytn/historical-data/,https://github.com/klaytn/klaytn,"['Platform', 'Enterprise Solutions', 'Injective Ecosystem']"
75,KuCoin Token,KCS,4.5538,440503374.19,1545478.38,96732986,https://coinmarketcap.com/currencies/kucoin-token/,https://coinmarketcap.com/currencies/kucoin-token/historical-data/,No GitHub Link,"['Marketplace', 'Centralized Exchange (CEX) Token', 'Discount Token']"
76,Frax Share,FXS,5.8141,426293235.96,17490089.18,73320949,https://coinmarketcap.com/currencies/frax-share/,https://coinmarketcap.com/currencies/frax-share/historical-data/,https://github.com/fraxfinance,"['DeFi', 'Seigniorage', 'Avalanche Ecosystem']"
77,IOTA,MIOTA,0.1468,407906646.18,3669231.04,2779530283,https://coinmarketcap.com/currencies/iota/,https://coinmarketcap.com/currencies/iota/historical-data/,https://github.com/iotaledger,"['DAG', 'Medium of Exchange', 'IoT']"
78,Zcash,ZEC,25.02,408533685.87,43281382.96,16328269,https://coinmarketcap.com/currencies/zcash/,https://coinmarketcap.com/currencies/zcash/historical-data/,https://github.com/zcash/zcash,"['Mineable', 'PoW', 'Equihash']"
79,Casper,CSPR,0.03577,403210792.05,3053239.75,11272187750,https://coinmarketcap.com/currencies/casper/,https://coinmarketcap.com/currencies/casper/historical-data/,https://github.com/casper-network/,"['Enterprise Solutions', 'Arrington XRP Capital Portfolio', 'Hashkey Capital Portfolio']"
80,Sui,SUI,0.5562,402224441.84,162888635.99,723162190,https://coinmarketcap.com/currencies/sui/,https://coinmarketcap.com/currencies/sui/historical-data/,https://github.com/MystenLabs,"['Binance Launchpool', 'Coinbase Ventures Portfolio', 'Binance Labs Portfolio']"
81,Huobi Token,HT,2.4044,390067399.09,12908659.91,162233844,https://coinmarketcap.com/currencies/huobi-token/,https://coinmarketcap.com/currencies/huobi-token/historical-data/,No GitHub Link,"['Marketplace', 'Centralized Exchange (CEX) Token', 'Discount Token']"
82,BitTorrent(New),BTT,4.1e-07,388737453.15,16409952.52,951421714286000,https://coinmarketcap.com/currencies/bittorrent-new/,https://coinmarketcap.com/currencies/bittorrent-new/historical-data/,https://github.com/bittorrent,"['Platform', 'Distributed Computing', 'Filesharing']"
83,Curve DAO Token,CRV,0.4545,388563836.48,40486695.49,854977268,https://coinmarketcap.com/currencies/curve-dao-token/,https://coinmarketcap.com/currencies/curve-dao-token/historical-data/,https://github.com/curvefi/curve-contract,"['Decentralized Exchange (DEX) Token', 'DeFi', 'DAO']"
